번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"139","(초등학생이 알아야 할) 참 쉬운 수학","사라 헐,톰 뭄브레이 글;폴 보스턴 그림;송지혜 옮김","어스본코리아","2023","9791190896511","","7","","410","1","1","2023-03-10",
"140","(호기심 소녀의) 어쩌다 세계 축제 여행","박현숙 글;김병하 그림","개암나무","2023","9788968307508","","7","","386.1","1","1","2023-03-10",
"141","흔한남매","흔한남매 원작;백난도 글;유난희 그림","미래엔아이세움","2022","9791168414471","","7","12","813.8","1","2","2023-03-10",
"142","태쁘의 퇴마부","태쁘 원작;김혜련 글;이소연 그림","겜툰","2022","9791168440463","","7","4","813.8","1","2","2023-03-10",
"143","(특명!) 엄마를 화해시켜라","원유순 글;김효주 그림","좋은책어린이","2021","9788928318292","","7","136","813.808","1","2","2023-03-10",
"144","테마파크에서 살아남기","포도알친구 글;한현동 그림","미래엔","2022","9791168410992","","7","76","404","1","2","2023-03-10",
"145","좀비고등학교 코믹스 시즌 2","박순영 글;라임스튜디오 그림","겜툰","2022","9791168440494","","7","26","813.8","1","3","2023-03-10",
"146","(채사장의) 지대넓얕","채사장마케마케 [공]글;정용환 그림","돌핀북","2022","9791197578458","","7","5","001.3","1","2","2023-03-10",
"147","존엄을 외쳐요","김은하 글;윤예지 그림","사계절(사계절출판사)","2022","9791160949827","","7","","342.1","1","0","2023-03-10",
"148","(정재승의) 인간탐구보고서","정재은,이고은 [공]글;김현민 그림","북이십일","2022","9788950983161","9788950983062","7","10","511.1813","1","2","2023-03-10",
"149","천하제일 치킨쇼","이희정 글;김무연 그림","비룡소","2023","9788949121994","","7","106","808.9","1","2","2023-03-10",
"150","(정재승의) 인류 탐험 보고서","정재승,차유진 [공]글;김현민 그림","아울북","2022","9788950996543","","7","5","511.1813","1","2","2023-03-10",
"151","좀비고등학교 코믹스 시즌 2","박순영 글;라임스튜디오 그림","겜툰","2022","9791168440555","","7","27","813.8","1","3","2023-03-10",
"152","이토록 불편한 플라스틱","임정은 글;홍성지 그림;홍수열","그레이트BOOKS(그레이트북스)","2022","9788927107057","","7","","539.9","1","2","2023-03-10",
"153","(이웃집 프로파일러) 하이다의 사건 파일","선자은 글;이태영 그림","아울북","2023","9788950990862","","7","1","813.8","1","1","2023-03-10",
"154","(이상한 과자 가게) 전천당","히로시마 레이코 글;쟈쟈 그림;김정화 옮김","길벗스쿨","2022","9791164064748","","7","16","833.8","1","1","2023-03-10",
"155","(나의 성격을 이해하고 더 멋진 내가 되는) 우리들의 MBTI","조수연 글;소윤 그림","다산어린이","2022","9791130631325","","7","3","182.12","1","2","2023-03-10",
"156","우리 반 이봉창","은경 글;에이리 그림","리틀씨앤톡","2023","9788960988736","","7","","813.8","1","1","2023-03-10",
"157","우리 반 목소리 작은 애","김수현 글;소복이 그림","풀빛","2022","9791161725185","","7","","813.8","1","2","2023-03-10",
"158","오늘은 용돈 버는 날","연유진 글;간장 그림","풀빛","2022","9791161725376","","7","","320","1","2","2023-03-10",
"159","오늘보다 더 멋진 내일을 만들어요","리베카 후이 글;안넬리 브레이 그림;손성화 옮김","FIKAJUNIOR(피카주니어)","2023","9791197419188","","7","","998.3","1","1","2023-03-10",
"160","에그박사","에그박사 원작;박송이 글;홍종현 그림","미래엔","2022","9791168414075","9791164135721","7","8","495","1","3","2023-03-10",
"161","엉뚱한 기자 김방구","주봄 글;한승무 그림","비룡소","2022","9788949168029","","7","","813.8","1","2","2023-03-10",
"162","(어린이를 위한) 역사의 쓸모","최태성 글;신진호 그림","다산북스","2022","9791130694979","","7","3","911","1","1","2023-03-10",
"163","약속은 꼭꼭 지킬래","이은지 글;정경아 그림","리틀씨앤톡","2023","9788960988750","","7","","375.2","1","1","2023-03-10",
"164","알면 똑똑해 지리","박동한,이윤지 [공]지음","멀리깊이","2022","9791191439267","","7","","980","1","0","2023-03-10",
"165","(신기한 맛) 도깨비 식당","김용세,김병섭 지음;센개 그림","꿈터","2022","9791167390691","9791167390608","7","3","813.8","1","2","2023-03-10",
"166","슈퍼 토끼의 결심","프란치스카 비어만 글·그림;송순섭 옮김","주니어김영사","2022","9788934943211","","7","","853","1","2","2023-03-10",
"167","수학도둑 수학동화","송도수 글;서정 엔터테인먼트 그림","서울문화사","2023","9791169236508","","7","7","410","1","2","2023-03-10",
"168","수해에서 살아남기","박송이 글;한현동 그림;윤순진","미래엔","2022","9791168412286","","7","75","404","1","2","2023-03-10",
"169","(코믹 메이플스토리) 수학도둑","송도수 글;서정 엔터테인먼트 그림","서울문화사","2023","9791169236553","","6","92","410","1","3","2023-03-10",
"170","(코믹 메이플스토리) 수학도둑","송도수 글;서정 엔터테인먼트 그림;여운방","서울문화사","2022","9791169235723","","6","91","410","1","3","2023-03-10",
"171","수상한 지하실","박현숙 글;장서영 그림","북멘토","2022","9788963194851","","7","","813.8","1","2","2023-03-10",
